"pos.1" "pos.2" "b.mod" "sep.dist" "pic_name"
4 9 4.24264068711928 1.23699630831785e-05 "plot_large_p_small_n_30_10_0_1_1.png"
4 10 15.3622914957372 0.772463779252601 "plot_large_p_small_n_30_10_0_1_1.png"
4 11 5.47722557505166 8.74846079116569e-06 "plot_large_p_small_n_30_10_0_1_1.png"
4 12 8.48528137423857 1.60251947806107e-06 "plot_large_p_small_n_30_10_0_1_1.png"
4 13 4.69041575982343 3.45739232692823e-05 "plot_large_p_small_n_30_10_0_1_1.png"
4 14 8.83176086632785 2.27861410919355e-05 "plot_large_p_small_n_30_10_0_1_1.png"
4 15 4.89897948556636 6.83531734060112e-05 "plot_large_p_small_n_30_10_0_1_1.png"
4 16 9.16515138991168 2.22104852969267e-05 "plot_large_p_small_n_30_10_0_1_1.png"
4 17 6.92820323027551 1.24554754551929e-06 "plot_large_p_small_n_30_10_0_1_1.png"
4 18 8.12403840463596 0.000146397209760152 "plot_large_p_small_n_30_10_0_1_1.png"
4 19 6 2.84250902188402e-07 "plot_large_p_small_n_30_10_0_1_1.png"
4 20 6.6332495807108 4.12739453746261e-06 "plot_large_p_small_n_30_10_0_1_1.png"
5 1 5.65685424949238 1.22348575377624e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 2 8.24621125123532 1.20678665848411e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 3 5.29150262212918 8.29094777318064e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 4 5.09901951359278 1.06599753807737e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 5 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
5 6 8.36660026534076 7.29287840423186e-06 "plot_large_p_small_n_30_10_0_1_1.png"
5 7 7.21110255092798 0.00036792667850765 "plot_large_p_small_n_30_10_0_1_1.png"
5 8 7.61577310586391 1.21306858723224e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 9 4.69041575982343 1.70998770240483e-06 "plot_large_p_small_n_30_10_0_1_1.png"
5 10 15.6204993518133 0.772453119277221 "plot_large_p_small_n_30_10_0_1_1.png"
5 11 5.29150262212918 1.91151458960796e-06 "plot_large_p_small_n_30_10_0_1_1.png"
5 12 6.78232998312527 1.22624948588347e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 13 5.09901951359278 2.39139478885086e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 14 6.78232998312527 1.21261657111618e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 15 4.47213595499958 5.76931980252376e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 16 9.59166304662544 1.1550509916153e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 17 8.12403840463596 1.19055229262929e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 18 6.92820323027551 0.000135737234379378 "plot_large_p_small_n_30_10_0_1_1.png"
5 19 6.32455532033676 1.03757244785853e-05 "plot_large_p_small_n_30_10_0_1_1.png"
5 20 7.34846922834953 6.53258084331104e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 1 6 1.95277359419942e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 2 4.69041575982343 4.77498818060923e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 3 6.16441400296898 9.02023561360383e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 4 7.74596669241483 3.3670969765418e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 5 8.36660026534076 7.29287840423186e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 6 0 0 "plot_large_p_small_n_30_10_0_1_1.png"
6 7 6.6332495807108 0.000375219556911882 "plot_large_p_small_n_30_10_0_1_1.png"
6 8 6.78232998312527 4.83780746809058e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 9 7.87400787401181 9.00286610663669e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 10 14.142135623731 0.772460412155625 "plot_large_p_small_n_30_10_0_1_1.png"
6 11 6.32455532033676 5.3813638146239e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 12 7.07106781186548 4.96961645460287e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 13 6.16441400296898 3.12068262927405e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 14 5.29150262212918 1.94190441153937e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 15 5.65685424949238 6.49860764294694e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 16 6.6332495807108 1.88433883203849e-05 "plot_large_p_small_n_30_10_0_1_1.png"
6 17 9.16515138991168 4.61264452206109e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 18 5.8309518948453 0.00014303011278361 "plot_large_p_small_n_30_10_0_1_1.png"
6 19 5.8309518948453 3.08284607435339e-06 "plot_large_p_small_n_30_10_0_1_1.png"
6 20 6 7.60297560920818e-07 "plot_large_p_small_n_30_10_0_1_1.png"
7 1 5.09901951359278 0.000355691820969888 "plot_large_p_small_n_30_10_0_1_1.png"
7 2 8.83176086632785 0.000379994545092491 "plot_large_p_small_n_30_10_0_1_1.png"
